camera,file_index,episode_index,from_timestamp,to_timestamp,gap_to_next,flag
wrist,1,44,182.6,211.95,0.000000,
wrist,1,45,211.95,242.54999999999998,0.000000,
wrist,1,46,242.54999999999998,273.59999999999997,0.000000,
wrist,1,47,273.59999999999997,302.99999999999994,0.000000,
wrist,1,48,302.99999999999994,333.04999999999995,0.000000,
wrist,1,49,333.04999999999995,363.65,0.000000,
wrist,1,50,363.65,394.59999999999997,0.000000,
wrist,1,51,394.59999999999997,425.45,0.000000,
wrist,1,52,425.45,455.8,0.000000,
wrist,1,53,455.8,485.1,0.000000,
wrist,1,54,485.1,514.45,0.000000,
wrist,1,55,514.45,544.4000000000001,0.000000,
wrist,1,56,544.4000000000001,574.7,0.000000,
wrist,1,57,574.7,603.7,0.000000,
wrist,1,58,603.7,634.75,0.000000,
wrist,1,59,634.75,665.1,0.000000,
wrist,1,60,665.1,694.95,0.000000,
wrist,1,61,694.95,725.0,0.000000,
wrist,1,62,725.0,755.1,0.000000,
wrist,1,63,755.1,785.7,0.000000,
wrist,1,64,785.7,815.3000000000001,0.000000,
wrist,1,65,815.3000000000001,848.1,0.000000,
wrist,1,66,848.1,877.75,0.000000,
wrist,1,67,877.75,910.3,0.000000,
wrist,1,68,910.3,940.25,0.000000,
wrist,1,69,940.25,971.25,0.000000,
wrist,1,70,971.25,1001.55,0.000000,
wrist,1,71,1001.55,1030.1,0.000000,
wrist,1,72,1030.1,1061.35,0.000000,
wrist,1,73,1061.35,1095.1,0.000000,
wrist,1,74,1095.1,1127.85,0.000000,
wrist,1,75,1127.85,1156.55,0.000000,
wrist,1,76,1156.55,1186.3999999999999,0.000000,
wrist,1,77,1186.3999999999999,1217.05,0.000000,
wrist,1,78,1217.05,1247.55,,
wrist,2,79,0.0,30.3,0.000000,
wrist,2,80,30.3,59.5,,
