camera,file_index,episode_index,from_timestamp,to_timestamp,gap_to_next,flag
side,0,0,0.0,40.7,0.000000,
side,0,1,40.7,72.05000000000001,0.000000,
side,0,2,72.05000000000001,103.15,0.000000,
side,0,3,103.15,133.85,0.000000,
side,0,4,133.85,164.1,0.000000,
side,0,5,164.1,196.04999999999998,0.000000,
side,0,6,196.04999999999998,229.5,0.000000,
side,0,7,229.5,260.65,0.000000,
side,0,8,260.65,292.15,0.000000,
side,0,9,292.15,321.84999999999997,0.000000,
side,0,10,321.84999999999997,352.54999999999995,0.000000,
side,0,11,352.54999999999995,382.94999999999993,0.000000,
side,0,12,382.94999999999993,414.44999999999993,0.000000,
side,0,13,414.44999999999993,442.79999999999995,0.000000,
side,0,14,442.79999999999995,473.65,0.000000,
side,0,15,473.65,504.15,0.000000,
side,0,16,504.15,534.6999999999999,0.000000,
side,0,17,534.6999999999999,565.7499999999999,0.000000,
side,0,18,565.7499999999999,597.9999999999999,0.000000,
side,0,19,597.9999999999999,628.2999999999998,0.000000,
side,0,20,628.2999999999998,658.1499999999999,0.000000,
side,0,21,658.1499999999999,689.3999999999999,0.000000,
side,0,22,689.3999999999999,720.2999999999998,,
side,1,23,0.0,30.75,0.000000,
side,1,24,30.75,61.8,0.000000,
side,1,25,61.8,92.4,0.000000,
side,1,26,92.4,124.45,0.000000,
side,1,27,124.45,155.8,0.000000,
side,1,28,155.8,186.85000000000002,0.000000,
side,1,29,186.85000000000002,217.8,0.000000,
side,1,30,217.8,249.85000000000002,0.000000,
side,1,31,249.85000000000002,279.25,0.000000,
side,1,32,279.25,308.3,0.000000,
side,1,33,308.3,338.5,0.000000,
side,1,34,338.5,368.85,0.000000,
side,1,35,368.85,400.25,0.000000,
side,1,36,400.25,431.65,0.000000,
side,1,37,431.65,461.59999999999997,0.000000,
side,1,38,461.59999999999997,492.24999999999994,0.000000,
side,1,39,492.24999999999994,523.8,0.000000,
side,1,40,523.8,552.6999999999999,0.000000,
side,1,41,552.6999999999999,583.8499999999999,0.000000,
side,1,42,583.8499999999999,613.9999999999999,0.000000,
side,1,43,613.9999999999999,644.1999999999999,0.000000,
side,1,44,644.1999999999999,673.55,0.000000,
side,1,45,673.55,704.15,0.000000,
side,1,46,704.15,735.1999999999999,,
side,2,47,0.0,29.4,0.000000,
side,2,48,29.4,59.45,0.000000,
side,2,49,59.45,90.05000000000001,0.000000,
side,2,50,90.05000000000001,121.00000000000001,0.000000,
side,2,51,121.00000000000001,151.85000000000002,0.000000,
side,2,52,151.85000000000002,182.20000000000002,0.000000,
side,2,53,182.20000000000002,211.50000000000003,0.000000,
side,2,54,211.50000000000003,240.85000000000002,0.000000,
side,2,55,240.85000000000002,270.8,0.000000,
side,2,56,270.8,301.1,0.000000,
side,2,57,301.1,330.1,0.000000,
side,2,58,330.1,361.15000000000003,0.000000,
side,2,59,361.15000000000003,391.50000000000006,0.000000,
side,2,60,391.50000000000006,421.3500000000001,0.000000,
side,2,61,421.3500000000001,451.4000000000001,0.000000,
side,2,62,451.4000000000001,481.5000000000001,0.000000,
side,2,63,481.5000000000001,512.1000000000001,0.000000,
side,2,64,512.1000000000001,541.7000000000002,0.000000,
side,2,65,541.7000000000002,574.5000000000001,0.000000,
side,2,66,574.5000000000001,604.1500000000001,0.000000,
side,2,67,604.1500000000001,636.7,0.000000,
side,2,68,636.7,666.6500000000001,0.000000,
side,2,69,666.6500000000001,697.6500000000001,,
side,3,70,0.0,30.3,0.000000,
side,3,71,30.3,58.85,0.000000,
side,3,72,58.85,90.1,0.000000,
side,3,73,90.1,123.85,0.000000,
side,3,74,123.85,156.6,0.000000,
side,3,75,156.6,185.29999999999998,0.000000,
side,3,76,185.29999999999998,215.14999999999998,0.000000,
side,3,77,215.14999999999998,245.79999999999998,0.000000,
side,3,78,245.79999999999998,276.29999999999995,0.000000,
side,3,79,276.29999999999995,306.59999999999997,0.000000,
side,3,80,306.59999999999997,335.79999999999995,,
wrist,0,0,0.0,40.7,0.000000,
wrist,0,1,40.7,72.05000000000001,0.000000,
wrist,0,2,72.05000000000001,103.15,0.000000,
wrist,0,3,103.15,133.85,0.000000,
wrist,0,4,133.85,164.1,0.000000,
wrist,0,5,164.1,196.04999999999998,0.000000,
wrist,0,6,196.04999999999998,229.5,0.000000,
wrist,0,7,229.5,260.65,0.000000,
wrist,0,8,260.65,292.15,0.000000,
wrist,0,9,292.15,321.84999999999997,0.000000,
wrist,0,10,321.84999999999997,352.54999999999995,0.000000,
wrist,0,11,352.54999999999995,382.94999999999993,0.000000,
wrist,0,12,382.94999999999993,414.44999999999993,0.000000,
wrist,0,13,414.44999999999993,442.79999999999995,0.000000,
wrist,0,14,442.79999999999995,473.65,0.000000,
wrist,0,15,473.65,504.15,0.000000,
wrist,0,16,504.15,534.6999999999999,0.000000,
wrist,0,17,534.6999999999999,565.7499999999999,0.000000,
wrist,0,18,565.7499999999999,597.9999999999999,0.000000,
wrist,0,19,597.9999999999999,628.2999999999998,0.000000,
wrist,0,20,628.2999999999998,658.1499999999999,0.000000,
wrist,0,21,658.1499999999999,689.3999999999999,0.000000,
wrist,0,22,689.3999999999999,720.2999999999998,0.000000,
wrist,0,23,720.2999999999998,751.0499999999998,0.000000,
wrist,0,24,751.0499999999998,782.0999999999998,0.000000,
wrist,0,25,782.0999999999998,812.6999999999998,0.000000,
wrist,0,26,812.6999999999998,844.7499999999998,0.000000,
wrist,0,27,844.7499999999998,876.0999999999998,0.000000,
wrist,0,28,876.0999999999998,907.1499999999997,0.000000,
wrist,0,29,907.1499999999997,938.0999999999998,0.000000,
